,player,positions,2017 projected ranking,2017 actual points scored
0,"Russell Wilson, SEA",QB,79,347.9
1,"Le'Veon Bell, PIT",RB,2,341.6
2,"Alvin Kamara, NO",RB,152,320.4
3,"Antonio Brown, PIT",WR,3,310.3
6,"Tom Brady, NE",QB,44,295.9
8,"Melvin Gordon, LAC",RB,13,288.1
9,"Keenan Allen, LAC",WR,33,284.2
12,"Matthew Stafford, DET",QB,119,273.6
13,"Philip Rivers, LAC",QB,132,270.4
15,"Drew Brees, NO",QB,57,262.6
16,"Larry Fitzgerald, ARI",WR,37,261.4
17,"Ben Roethlisberger, PIT",QB,127,260.7
18,"Dak Prescott, DAL",QB,105,260.7
19,"Michael Thomas, NO",WR,11,258.5
20,"Julio Jones, ATL",WR,6,251.9
21,"Tyreek Hill, KC",WR,53,245.2
22,"Adam Thielen, MIN",WR,81,239.7
23,"Travis Kelce, KC",TE,48,233.5
24,"Christian McCaffrey, CAR",RB,35,228.6
25,"Matt Ryan, ATL",QB,67,228.1
26,"Rob Gronkowski, NE",TE,22,227.4
27,"A.J. Green, CIN",WR,10,226.8
28,"Marvin Jones Jr., DET",WR,125,225.1
29,"Golden Tate, DET",WR,34,224.5
30,"Doug Baldwin, SEA",WR,17,223.3
31,"Davante Adams, GB",WR,42,222.5
32,"Duke Johnson Jr., CLE",RB,77,216.1
33,"Andy Dalton, CIN",QB,158,210.7
34,"Marcus Mariota, TEN",QB,114,210.5
35,"Derek Carr, OAK",QB,111,206.4
37,"Ezekiel Elliott, DAL",RB,4,203.2
38,"Mike Evans, TB",WR,8,203.1
39,"Zach Ertz, PHI",TE,96,202.4
40,"Jameis Winston, TB",QB,113,201.7
42,"Jordan Howard, CHI",RB,15,199.7
43,"Stefon Diggs, MIN",WR,60,198.2
45,"Devin Funchess, CAR",WR,187,195.0
46,"Lamar Miller, HOU",RB,27,193.5
47,"Nelson Agholor, PHI",WR,200,193.5
48,"Eli Manning, NYG",QB,180,187.3
49,"Cooper Kupp, LAR",WR,174,176.9
50,"T.Y. Hilton, IND",WR,21,175.6
51,"Kenny Stills, MIA",WR,165,174.7
52,"Delanie Walker, TEN",TE,87,174.5
54,"Jack Doyle, IND",TE,128,169.0
55,"Tevin Coleman, ATL",RB,82,167.7
56,"Marshawn Lynch, OAK",RB,38,164.2
57,"Robert Woods, LAR",WR,178,163.3
58,"Ted Ginn Jr., NO",WR,107,159.6
59,"Randall Cobb, GB",WR,100,159.4
60,"Amari Cooper, OAK",WR,20,158.4
62,"Latavius Murray, MIN",RB,138,157.5
64,"Theo Riddick, DET",RB,65,154.0
65,"Giovani Bernard, CIN",RB,104,151.7
66,"Jason Witten, DAL",TE,160,147.0
67,"Bilal Powell, NYJ",RB,50,145.2
68,"Sterling Shepard, NYG",WR,148,144.5
69,"Cameron Brate, TB",TE,189,143.1
70,"Jamaal Williams, GB",RB,171,142.8
71,"Joe Mixon, CIN",RB,54,141.3
72,"DeSean Jackson, TB",WR,75,138.6
73,"Tyrell Williams, LAC",WR,89,137.8
74,"Derrick Henry, TEN",RB,122,135.0
75,"James White, NE",RB,92,134.0
76,"DeVante Parker, MIA",WR,64,130.0
77,"Rex Burkhead, NE",RB,123,129.8
78,"Aaron Rodgers, GB",QB,45,129.6
79,"Ameer Abdullah, DET",RB,70,124.4
80,"Tyler Lockett, SEA",WR,169,124.3
81,"Matt Forte, NYJ",RB,85,120.4
82,"Austin Hooper, ATL",TE,172,119.6
83,"Emmanuel Sanders, DEN",WR,43,114.5
84,"Will Fuller V, HOU",WR,196,113.2
85,"Chris Hogan, NE",WR,86,109.6
86,"Carson Palmer, ARI",QB,186,102.3
88,"J.J. Nelson, ARI",WR,193,93.5
89,"Ty Montgomery, GB",RB,39,91.6
90,"Cole Beasley, DAL",WR,170,91.4
91,"Devontae Booker, DEN",RB,185,91.4
93,"Jalen Richard, OAK",RB,177,86.1
94,"DeAndre Washington, OAK",RB,176,85.0
96,"Charles Sims, TB",RB,144,73.4
97,"Charcandrick West, KC",RB,147,73.2
99,"Corey Davis, TEN",WR,115,69.5
100,"Mike Gillislee, NE",RB,73,68.8
101,"Corey Coleman, CLE",WR,112,65.5
103,"Danny Woodhead, BAL",RB,51,58.6
105,"Jacquizz Rodgers, TB",RB,110,46.8
106,"Wendell Smallwood, PHI",RB,159,46.7
107,"Greg Olsen, CAR",TE,55,42.1
109,"Terrance West, BAL",RB,76,28.1
111,"Breshad Perriman, BAL",WR,191,17.7
112,"C.J. Prosise, SEA",RB,106,17.0
113,"James Conner, PIT",RB,182,14.4
114,"David Johnson, ARI",RB,1,13.0
117,"Kevin White, CHI",WR,117,2.6
119,"Darren McFadden, DAL",RB,153,-0.2
120,"John Ross, CIN",WR,195,-0.8
