,Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate,month
0,The Hunger Games: Catching Fire,130000000.0,424668047,Francis Lawrence,PG-13,146,2013-11-22,11
1,Iron Man 3,200000000.0,409013994,Shane Black,PG-13,129,2013-05-03,5
2,Frozen,150000000.0,400738009,Chris BuckJennifer Lee,PG,108,2013-11-22,11
3,Despicable Me 2,76000000.0,368061265,Pierre CoffinChris Renaud,PG,98,2013-07-03,7
4,Man of Steel,225000000.0,291045518,Zack Snyder,PG-13,143,2013-06-14,6
5,Gravity,100000000.0,274092705,Alfonso Cuaron,PG-13,91,2013-10-04,10
6,Monsters University,74747191.01123595,268492764,Dan Scanlon,G,107,2013-06-21,6
7,The Hobbit: The Desolation of Smaug,74747191.01123595,258366855,Peter Jackson,PG-13,161,2013-12-13,12
8,Fast & Furious 6,160000000.0,238679850,Justin Lin,PG-13,130,2013-05-24,5
9,Oz The Great and Powerful,215000000.0,234911825,Sam Raimi,PG,127,2013-03-08,3
10,Star Trek Into Darkness,190000000.0,228778661,J.J. Abrams,PG-13,123,2013-05-16,5
11,Thor: The Dark World,170000000.0,206362140,Alan Taylor,PG-13,120,2013-11-08,11
12,World War Z,190000000.0,202359711,Marc Forster,PG-13,116,2013-06-21,6
13,The Croods,135000000.0,187168425,Kirk De MiccoChris Sanders,PG,98,2013-03-22,3
14,The Heat,43000000.0,159582188,Paul Feig,R,117,2013-06-28,6
15,We're the Millers,37000000.0,150394119,Rawson Marshall Thurber,R,110,2013-08-07,8
16,American Hustle,40000000.0,150117807,David O. Russell,R,138,2013-12-13,12
17,The Great Gatsby,105000000.0,144840419,Baz Luhrmann,PG-13,143,2013-05-10,5
18,The Conjuring,20000000.0,137400141,James Wan,R,112,2013-07-19,7
19,Identity Thief,35000000.0,134506920,Seth Gordon,R,111,2013-02-08,2
20,Grown Ups 2,80000000.0,133668525,Dennis Dugan,PG-13,101,2013-07-12,7
21,The Wolverine,120000000.0,132556852,James Mangold,PG-13,126,2013-07-26,7
22,Anchorman 2: The Legend Continues,50000000.0,125168368,Adam McKay,PG-13,119,2013-12-18,12
23,Lone Survivor,40000000.0,125095601,Peter Berg,R,121,2013-12-25,12
24,G.I. Joe: Retaliation,130000000.0,122523060,Jon Chu,PG-13,99,2013-03-28,3
25,Now You See Me,75000000.0,117723989,Louis Leterrier,PG-13,116,2013-05-31,5
26,The Wolf of Wall Street,100000000.0,116900694,Martin Scorsese,R,180,2013-12-25,12
27,Lee Daniels' The Butler,30000000.0,116632095,Lee Daniels,PG-13,132,2013-08-16,8
28,The Hangover Part III,103000000.0,112200072,Todd Phillips,R,100,2013-05-23,5
29,Epic,100000000.0,107518682,Chris Wedge,PG,102,2013-05-24,5
30,Captain Phillips,55000000.0,107100855,Paul Greengrass,PG-13,134,2013-10-11,10
31,Jackass Presents: Bad Grandpa,15000000.0,102003019,Jeff Tremaine,R,93,2013-10-25,10
32,Pacific Rim,190000000.0,101802906,Guillermo del Toro,PG-13,131,2013-07-12,7
33,This is the End,32000000.0,101470202,Evan GoldbergSeth Rogen,R,107,2013-06-12,6
34,Olympus Has Fallen,70000000.0,98925640,Antoine Fuqua,R,120,2013-03-22,3
35,42,40000000.0,95020213,Brian Helgeland,PG-13,128,2013-04-12,4
36,Elysium,115000000.0,93050117,Neill Blomkamp,R,109,2013-08-09,8
37,Planes,50000000.0,90288712,Klay Hall,PG,92,2013-08-09,8
38,The Lone Ranger,215000000.0,89302115,Gore Verbinski,PG-13,149,2013-07-03,7
39,Oblivion,120000000.0,89107235,Joseph Kosinski,PG-13,125,2013-04-19,4
40,Insidious Chapter 2,5000000.0,83586447,James Wan,PG-13,105,2013-09-13,9
41,Saving Mr. Banks,35000000.0,83301580,John Lee Hancock,PG-13,120,2013-12-13,12
42,Turbo,135000000.0,83028128,David Soren,PG,96,2013-07-17,7
43,2 Guns,61000000.0,75612460,Baltasar Kormakur,R,109,2013-08-02,8
44,White House Down,150000000.0,73103784,Roland Emmerich,PG-13,137,2013-06-28,6
45,Mama,15000000.0,71628180,Andres Muschietti,PG-13,100,2013-01-18,1
46,Safe Haven,28000000.0,71349120,Lasse Hallstrom,PG-13,115,2013-02-14,2
47,The Smurfs 2,105000000.0,71017784,Raja Gosnell,PG,105,2013-07-31,7
48,The Best Man Holiday,17000000.0,70525195,Malcolm D. Lee,R,122,2013-11-15,11
49,Percy Jackson: Sea of Monsters,90000000.0,68559554,Thor Freudenthal,PG,106,2013-08-07,8
50,A Good Day to Die Hard,92000000.0,67349198,John Moore,R,97,2013-02-14,2
51,Warm Bodies,35000000.0,66380662,Jonathan Levine,PG-13,97,2013-02-01,2
52,Jack the Giant Slayer,195000000.0,65187603,Bryan Singer,PG-13,114,2013-03-01,3
53,The Purge,3000000.0,64473115,James DeMonaco,R,85,2013-06-07,6
54,Last Vegas,28000000.0,63914167,Jon Turteltaub,PG-13,90,2013-11-01,11
55,Ender's Game,110000000.0,61737191,Gavin Hood,PG-13,114,2013-11-01,11
56,Prisoners,46000000.0,61002302,Denis Villeneuve,R,146,2013-09-20,9
57,After Earth,130000000.0,60522097,M. Night Shyamalan,PG-13,100,2013-05-31,5
58,The Secret Life of Walter Mitty,90000000.0,58236838,Ben Stiller,PG,114,2013-12-25,12
59,Escape From Planet Earth,40000000.0,57012977,Cal Brunker,PG,89,2013-02-15,2
60,12 Years a Slave,20000000.0,56671993,Steve McQueen (II),R,133,2013-10-18,10
