article,celeb,x,y
"The man who kept O.J. Simpson's getaway Bronco hidden for roughly 22 years wants more than $500,000 for the infamous ride ... and he's hoping to get it from the guys on ""Pawn Stars.""Simpson's former agent, Mike Gilbert, got in touch with Rick Harrison in the hopes of unloading the car he got from Al Cowlings following the 1994 slow speed chase on the 405 freeway.During the episode, which airs Monday on History, Gilbert told the guys he's had very serious offers in the past -- but wants more than half a mil or no deal.The challenge for Rick -- we've never seen him spend that kind of money on the show before. The most expensive items ever sold at the Pawn Shop were gold bars valued at $128,000.",o.j. simpson,-14.742927551269531,-22.504173278808594
"Usher isn't letting his herpes scandal get in the way of his music career ... because we've learned he's in the studio right now with Jermaine Dupri.Usher is in an L.A. studio recording for a new album, produced by Jermaine. We're told Usher literally hasn't missed a beat in the wake of multiple lawsuits alleging he exposed sexual partners to herpes.It's interesting ... Usher headlined at the Cincinnati Music Festival alongside Mary J. Blige last month, 5 days after a woman filed a $20 million lawsuit against him, claiming her exposed her to the STD.",usher herpes scandal,24.465118408203125,-5.480501174926758
"Gov. Terry McAuliffe has a clear message for Donald Trump for the sake of world salvation -- ""Knock it off.""We got the Virginia democrat at an event Wednesday in Pentagon City, and he's alarmed to say the least at the President's ""fire and fury"" rhetoric directed at North Korea.It's interesting ... check out this video of President Harry Truman back in August 1945 -- the day we dropped an atomic bomb on Hiroshima -- when he used language almost identical in tone to Trump's.",trump,-22.790529251098633,17.170663833618164
"President Donald Trump's ex-campaign manager had a rude awakening after FBI agents conducted a predawn raid at his home.The raid happened back on July 26 but news just surfaced. FBI agents stormed Paul Manafort's Alexandria, Virginia crib to seize docs related to Robert Mueller's investigation into Russia interference of the 2016 U.S. presidential election.The raid reportedly went down the day after Manafort met with the Senate Intelligence Committee, which is also investigating Russia. Manafort, of course, was one of a handful of people -- including Donald Trump Jr. and son-in-law/adviser Jared Kushner -- who took part in a 2016 meeting with a Russian lawyer offering dirt on Hillary Clinton.",trump,-22.932048797607422,17.506221771240234
"The Koch Brothers reportedly helped finance ""Wonder Woman"" and other films with Bill Gates ... and Donald Trump's Treasury Secretary.The way the story goes ... Steven Mnuchin roped Charles Koch, David Koch and Gates into a production company he helped start to finance movies like 'WW,' ""Dunkirk,"" and Spielberg's upcoming ""Ready Player One.""The Koch Brothers struck a $450 million deal in 2013 to become stakeholders in Mnuchin's company RatPac-Dune Entertainment ... and Gates was brought in as an investor for a similar amount, according to The Hollywood Reporter.Although Mnuchin has divested from the company because of his gig in Trump's administration ... the Koch Brothers are reportedly still very much involved.Also worth noting ... reps for the Kochs denied investing in RatPac.Still, it's interesting. The Koch Brothers -- worth more than $96 billion -- are known as backers of conservative efforts.Wonder how Diana Prince would feel about this.",trump,-23.05082893371582,20.16577911376953
"Donald Trump just warned North Korea ... he's not only renovating the White House air-conditioning system, he's doing the same to our nuclear arsenal.Trump's latest tweet -- ""My first order as President was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before"" -- is the latest act of brinkmanship between the U.S. and North Korea.Trump doesn't say he's completed the act of renovating our arsenal -- that takes way longer than 7 months -- but he claims he began the process back in January. It's hard to know how long anything takes to develop or renovate in the nuclear world ... no one thought North Korea could do what it's now doing.Trump went on to say, ""Hopefully we will never have to use this power, but there will never be a time that we are not the most powerful nation in the world.""",trump,-22.409860610961914,16.78669548034668
"Karrueche Tran isn't hating on ex Chris Brown for sending googly eyes to his other ex, Rihanna ... she actually says she can't blame him 'cause she'd do the same thing.We got Karrueche leaving Catch in WeHo -- perhaps a little drunk -- and asked what she made of Rihanna's sexy Crop Over outfit and Chris' comment that got fans all riled up.She's joyfully honest -- telling us she'd love to learn RiRi's secret to getting that type of a bod ... but then admitting it probably ain't gonna happen for her.Never say never, though, KT ... Kim K's only a couple inches taller and the reigning queen of thick.As for Chris' googly eyed comment for Rihanna, Karrueche sees the rationale ... even if he probably ain't the best one to express it.",kim & kanye,1.8275737762451172,-27.07911491394043
"Justin Theroux's war with his NYC neighbor is actually pretty one-sided -- Justin does all the damage and the downstairs neighbor's left to deal with it ... according to new legal docs filed by the guy.Norman Resnicow responded to Theroux's recent harassment lawsuit against him, claiming he and his wife have been terrorized by the actor's rude behavior at their Greenwich Village co-op for years ... including endless barking from his rescue dogs left isolated for long periods, dropping heavy weights on the floor at 3 AM and angry outbursts.Despite all this, according to the docs, Resnicow has actually had Theroux's back in the past -- including when he was the co-op president -- and the 2 have a history of ""friendly relations and cooperation."" That's why he calls Justin's allegations against him ... ""as fictional as the television series in which he recently starred.""For example, Norman claims Jennifer Aniston's hubby asked him to help quietly kick Justin's ex-gf out of his apartment.Resnicow says he's been nothing but helpful to Justin, yet J.T. won't return the favor by soundproofing his unit, and that's why Resnicow has pitched a fit from time to time.",trump,-40.597511291503906,-26.13730239868164
"Blac Chyna had the cops called on her after Rob's baby mama went ham over a roofer.It happened Tuesday morning at Chyna's L.A. home. She pitched a fit when a guy next door started pitching a roof at 9 AM. We're told Chyna confronted the homeowner, saying it was too damn early to start construction. She said the noise woke up little Dream, and that pissed her off.The neighbor claims Chyna went so ballistic she got scared and called the cops.We're told cops showed up and gave Chyna a free lesson about the law. In L.A., construction can fire up at 7 AM, so the roofer was well within his rights.Chyna calmed down, and cops beat it.",rob & chyna,13.70849609375,43.074462890625
"Usher in no way, shape or form had sex with the woman who came forward and claimed he exposed her to the herpes virus, because he's just not into her type ... so he's telling his close circle.Quantasia Sharpton claims Usher picked her out of the audience at a concert, got her number, and went over to her hotel room where they had sex. She claims he didn't tell her he allegedly had genital herpes.Our sources say Usher told them he may have pulled her up onstage ... he doesn't remember, but he absolutely didn't hook up with her.As for why he may have picked Sharpton out of the crowd and brought her onstage, the sources say Usher ""looks to bring a diverse group of people up onstage, not just supermodels.""One source says he believes it's ""an esteem booster"" to choose various people Usher sees in the audience and single them out.",usher herpes scandal,24.453779220581055,-5.480629920959473
