word,size
Aaron,26
Amber,25
American,25
Attorney,20
Awards,20
BET,24
BS,20
Bachelor,26
Barson,21
Beach,21
Bella,22
Ben,21
Bennington,23
Bev,20
Bey,20
Beyonce,23
Bieber,28
Bill,24
Blac,27
Bloom,22
Brown,22
Carter,21
Chester,30
Chris,39
Chyna,49
Club,20
Conor,27
Cops,24
Corinne,37
Cornell,20
Cosby,27
Cube,22
DJ,22
DUI,23
Dallas,20
David,22
DeMario,34
Donald,24
Drake,22
Dream,21
Ferrari,23
Floyd,28
French,20
Game,20
George,22
God,20
Hills,25
Hollywood,27
Ice,20
Idol,20
Instagram,20
Jackson,27
James,24
Jay,29
Jenner,24
Jennifer,21
Jeremy,21
Joe,23
John,27
Johnny,20
Jones,23
Jordan,20
Joycelyn,21
Justin,36
Kanye,30
Kardashian,30
Katy,20
Kelly,33
Kendall,23
Kevin,20
Khloe,21
Kim,34
Kris,20
Kylie,23
LAX,24
LaVar,22
Lee,21
Lil,21
Lindsay,20
Linkin,21
Lisa,20
May,22
Mayweather,25
McGregor,24
Meek,22
Michael,24
Mike,22
Miller,20
Music,20
NBA,25
NFL,21
NYC,29
Nick,22
Nicki,20
North,21
Obama,21
Olympios,23
Paradise,24
Paul,20
Perry,20
Police,21
President,33
Prez,22
Prince,20
Prodigy,23
Purpose,20
Rachel,22
Rick,20
Rob,49
Robert,21
Rose,21
Ryan,25
Safaree,21
Savage,22
Scott,22
Shia,25
Simpson,30
Smith,21
Sports,32
Steve,21
TMZ,100
TV,25
Taylor,22
Tom,21
Trump,51
Tupac,22
Twitter,20
UFC,23
Usher,25
Vegas,24
Venus,28
Wayne,20
WeHo,21
West,24
Williams,25
able,20
absolutely,21
abuse,20
accident,25
accused,22
action,21
actor,24
actually,23
added,21
agreed,21
ain,25
air,20
album,23
alcohol,21
allegations,23
alleged,25
allegedly,34
announced,21
answer,20
apparently,21
appear,20
appearance,20
appeared,23
appears,23
area,22
arm,20
arrest,25
arrested,37
arrived,22
ask,20
asking,22
ass,24
assault,29
attack,21
attorney,25
auction,21
away,31
baby,26
bad,26
band,24
bar,20
based,22
basketball,20
battery,20
battle,20
beach,25
beat,24
bed,20
bedroom,20
beef,20
began,22
believe,23
believes,26
best,26
better,23
bikini,20
birth,20
birthday,24
black,27
blood,25
board,20
body,23
book,21
booked,20
bought,22
boy,21
boyfriend,20
break,21
bring,20
broke,45
brother,21
brought,22
bunch,22
business,21
busted,22
calling,26
calls,20
camera,20
camp,21
canceled,20
car,35
career,21
case,31
cash,22
cast,24
caught,22
cause,28
cell,20
change,21
charged,22
charges,23
check,21
child,24
children,20
claim,22
claimed,23
claiming,26
claims,41
clearly,28
club,23
come,27
comedian,20
comes,26
coming,24
comment,21
comments,20
community,21
company,29
completely,20
concert,24
condition,20
confirmed,21
connected,24
continued,20
contract,22
cool,20
cop,20
cops,43
couldn,25
count,20
country,22
counts,21
couple,33
course,25
court,36
cover,22
crash,22
crazy,21
crew,27
crime,20
crowd,24
custody,24
dad,24
date,23
dating,23
daughter,30
dead,21
deal,35
death,36
decided,21
decision,23
definitely,21
denied,21
despite,21
died,36
different,21
director,21
divorce,26
docs,44
does,25
dog,21
doing,28
